x,y,z
514629.35,5264760.98,411
507914.88,5262876.45,52
515184.02,5261825.93,605
507786.24,5261326.85,229
515268.9,5266758.98,116
510028.93,5265065.67,30
505090.88,5262628.64,40
509761.08,5260536.73,155
515213.39,5262575.64,616
513503.66,5265597.03,89
514799.31,5259097.3,255
513263.56,5259629.35,297
505190.01,5259364.58,110
505928.54,5260490.02,189
514827.21,5264089.1,648
514432.14,5266120.41,270
506477.3,5262605.97,85
511969.8,5258516.7,277
509302.92,5266469.08,320
510456.68,5259504.25,158
513484.77,5261704.42,213
513841.68,5259958.67,171
514272.6,5259879.7,148
507342.06,5260662.41,328
507516.92,5259113.72,381
505893.17,5268329.03,118
513450.47,5259291.58,449
514549.7,5266074.53,315
513940.73,5258885.8,503
512429.5,5261995.78,236
507560.25,5261391.4,264
507503.42,5258302.44,317
509375.49,5258823.6,230
515138.52,5258941.91,237
511792.13,5268139.87,239
514146.68,5267291.9,0
511705.33,5264623.52,47
510222.05,5267828.57,490
513837.86,5264828.2,311
505693.54,5262412.09,69
505284.14,5259679.78,214
511378.57,5266467.01,116
514732.84,5262399.96,461
514181.66,5263782.54,603
509975.49,5266285.4,264
513386.39,5267537.2,18
513913.31,5261606.9,302
509493.69,5265447.85,111
512904.49,5261614.9,177
508882.14,5258572.63,147
514343.54,5260230.89,215
510313.79,5267645.65,472
510956.42,5261621.33,57
509510.83,5258937.04,266
505880.06,5263672.77,7
508653.67,5260443.19,260
514239.76,5262412.24,371
507839.75,5264666.79,119
509099.17,5267548.21,392
507197.27,5263649.29,0
510539.92,5261654.72,65
510376.67,5265508.81,60
513888.81,5266849.51,0
514527.83,5263200.29,427
514152.11,5268074.94,3
508472.69,5267546.32,583
506932.99,5266114.48,459
510277.88,5260261.26,182
510461.47,5262759.98,62
508173.37,5267372.67,545
